ID,Model Name,Engine Disp.,Top Speed,Acceleration,Power,Torque,Price (in $)
1,Mercedes Benz SL55,3982.0,295.0,3.9,469.0,700.0,235000.0
2,BMW M4 EVO,2998.0,250.0,4.5,335.0,500.0,196300.0
3,Bently Bentagya,3996.0,290.0,5.4,542.0,770.0,425000.0
4,Lamborghini Huracan,5204.0,325.0,3.5,602.0,600.0,354000.0
5,Aston Martin,5198.0,300.0,4.0,503.0,675.0,329000.0
6,Mercedes Benz E53,2999.0,275.0,6.7,429.0,520.0,175000.0
7,Rolls Royce Dawn,6598.0,250.0,7.9,563.0,820.0,596000.0
8,Audi TT STR,3789.0,225.0,6.4,480.0,540.0,480000.0
